2264,160 POLICIA LOCAL MTRO. RIVADAVIA           ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2374,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2445,042 VIALIDAD                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2457,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2459,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2476,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 08 a 14                ,LU 0009 0015,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
2503,048 CERRETTI                                ,F,Turno: 11 a 17                ,LU 0011 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2508,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2532,027 C. A. Nº16 - R.CALZADA.                 ,S,Turno: 12 a 18                ,LU 0012 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2573,048 CERRETTI                                ,F,Turno: 9 a 15                 ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2597,048 CERRETTI                                ,F,Turno: 6 a 12                 ,LU 0008 0014,MA 0006 0012,MI 0006 0012,JU 0006 0012,VI 0006 0012,   0000 0000,   0000 0000,   0000 0000
2619,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2627,074 MUSEO Y ARCHIVO HISTORICO (CUCARACHA)   ,S,Turno: 9 a 15                 ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2643,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2658,152 EDIFICIO EX-BOMBEROS                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2660,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
2661,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2675,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,MA 0006 0014,MI 0006 0014,JU 0006 0014,VI 0006 0014,   0000 0000,   0000 0000,   0000 0000
2676,048 CERRETTI                                ,N,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2677,043 CEMENTERIO MUNICIPAL                    ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2677,117 CEMENTERIO PLANILLA                     ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2685,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2687,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2704,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2716,042 VIALIDAD                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2729,048 CERRETTI                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2735,048 CERRETTI                                ,N,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2746,042 VIALIDAD                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2754,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2761,048 CERRETTI                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2766,089 DIRECCION DE DEPORTES                   ,S,Turno: 08 a 14                ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2768,048 CERRETTI                                ,N,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2785,023 C. A. Nº 6 LOS ALAMOS                   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2799,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
2813,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
2817,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2840,041 BIBLIOTECA                              ,S,Turno: 12 a 18                ,LU 0012 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2841,048 CERRETTI                                ,F,Turno: 6 a 12                 ,LU 0008 0014,MA 0006 0012,MI 0006 0012,JU 0006 0012,VI 0006 0012,   0000 0000,   0000 0000,   0000 0000
2847,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2859,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
2870,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2874,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2886,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2888,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2896,048 CERRETTI                                ,N,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2911,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 14 a 20                ,LU 0016 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2915,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 14 a 20                ,LU 0013 0018,MA 0013 0018,MI 0013 0018,JU 0013 0018,VI 0013 0017,   0000 0000,   0000 0000,   0000 0000
2923,048 CERRETTI                                ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2927,080 DIRECCION DE USO DE SUELO               ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2950,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
2951,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2958,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2989,048 CERRETTI                                ,F,Turno: 6 a 12                 ,LU 0006 0012,MA 0006 0012,MI 0006 0012,JU 0006 0012,VI 0006 0012,   0000 0000,   0000 0000,   0000 0000
2993,048 CERRETTI                                ,F,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
2994,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3021,048 CERRETTI                                ,N,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3024,074 MUSEO Y ARCHIVO HISTORICO (CUCARACHA)   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3028,088 C. A. Nº 17  SAN AGUSTIN                ,S,Turno: 08 a 14                ,LU 0008 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3028,026 C. A. Nº 2 MI HORIZONTE                 ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3028,115 POSTA LA CASONA                         ,S,Turno: 14 a 20                ,LU 1330 1730,MA 1330 1730,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3055,048 CERRETTI                                ,F,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3081,047 CERRETTI ..( JEFES )                    ,S,Turno: 9 a 15                 ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3104,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3106,050 EREZCANO                                ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3108,077 DIRECCION DE DEPORTES                   ,S,Turno: Rotativo               ,LU 0008 0014,MA 0010 0016,MI 0010 0016,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
3109,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3110,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3111,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3117,047 CERRETTI ..( JEFES )                    ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3121,105 EDIFICIO  TOLL                          ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3122,142 CASA BORGES                             ,S,Turno: 10 a 16                ,LU 0010 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3128,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3129,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3141,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3145,048 CERRETTI                                ,F,Turno: 6 a 12                 ,LU 0008 0014,MA 0006 0012,MI 0006 0012,JU 0006 0012,VI 0006 0012,   0000 0000,   0000 0000,   0000 0000
3148,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3197,048 CERRETTI                                ,F,Turno: 7 a 13                 ,LU 0730 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3214,077 DIRECCION DE DEPORTES                   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3249,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3250,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3258,043 CEMENTERIO MUNICIPAL                    ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3258,117 CEMENTERIO PLANILLA                     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3261,048 CERRETTI                                ,F,Turno: 9 a 15                 ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3263,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3271,136 C.A.N 25 2 DE ABRIL                     ,S,Turno: 08 a 14                ,LU 0008 1330,MA 0011 0017,   0000 0000,   0000 0000,VI 0011 1730,   0000 0000,   0000 0000,   0000 0000
3273,025 C.A. Nº 1 MSTRO RIVADAVIA               ,S,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,   0000 0000,JU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3284,048 CERRETTI                                ,N,Turno: 19 a 7                 ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0019 0007,DO 0019 0007,FE 0019 0007
3285,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3299,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3300,105 EDIFICIO  TOLL                          ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3311,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3312,048 CERRETTI                                ,N,Turno: 08 a 14                ,            ,            ,            ,            ,            ,            ,            ,            
3315,048 CERRETTI                                ,N,Turno: 7 a 19 (12 X 24)       ,LU 0007 0019,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3317,028 C. A. Nº 15  C.MOLINA (GLEW II)         ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
3318,000 CASA MUNICIPAL                          ,N,Turno: 19 a 7                 ,LU 0019 0007,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
